processDate,curveCode,origin,tenor,maturity,rate
2025-09-26,CCLFCOLUSD,analytics,1D,1,0.0419816842977822
2025-09-26,CCLFCOLUSD,analytics,2D,2,0.04198168429778721
2025-09-26,CCLFCOLUSD,analytics,3D,3,0.04198168429779215
2025-09-26,CCLFCOLUSD,analytics,4D,4,0.04198168429779273
2025-09-26,CCLFCOLUSD,analytics,5D,5,0.04198168429779275
2025-09-26,CCLFCOLUSD,analytics,6D,6,0.04198168429779061
2025-09-26,CCLFCOLUSD,analytics,7D,7,0.04198168429779475
2025-09-26,CCLFCOLUSD,analytics,8D,8,0.04198168429779204
2025-09-26,CCLFCOLUSD,analytics,9D,9,0.04198168429779128
2025-09-26,CCLFCOLUSD,analytics,10D,10,0.04198168429779199
2025-09-26,CCLFCOLUSD,analytics,11D,11,0.04198168429779228
2025-09-26,CCLFCOLUSD,analytics,12D,12,0.041899403565777725
2025-09-26,CCLFCOLUSD,analytics,13D,13,0.0418171228337655
2025-09-26,CCLFCOLUSD,analytics,14D,18,0.02641433039357968
2025-09-26,CCLFCOLUSD,analytics,1M,34,0.007453384051956298
2025-09-26,CCLFCOLUSD,analytics,1M,44,0.0030258306694302796
2025-09-26,CCLFCOLUSD,analytics,2M,66,0.0035879763494383356
2025-09-26,CCLFCOLUSD,analytics,2M,74,0.0035726888549409584
2025-09-26,CCLFCOLUSD,analytics,3M,95,0.0021204249405132147
2025-09-26,CCLFCOLUSD,analytics,3M,105,0.0015812354217909976
2025-09-26,CCLFCOLUSD,analytics,4M,126,0.01002165059228857
2025-09-26,CCLFCOLUSD,analytics,4M,136,0.012966105412262742
2025-09-26,CCLFCOLUSD,analytics,5M,157,0.005881250457568651
2025-09-26,CCLFCOLUSD,analytics,5M,164,0.004114418626060797
2025-09-26,CCLFCOLUSD,analytics,6M,185,0.0034936951657459346
2025-09-26,CCLFCOLUSD,analytics,6M,195,0.003179216863147913
2025-09-26,CCLFCOLUSD,analytics,7M,225,0.0013531433384673553
2025-09-26,CCLFCOLUSD,analytics,8M,256,0.0030920158572025794
2025-09-26,CCLFCOLUSD,analytics,9M,277,0.00408521352899926
2025-09-26,CCLFCOLUSD,analytics,9M,286,0.004468023427369648
2025-09-26,CCLFCOLUSD,analytics,10M,317,0.009264937417579526
2025-09-26,CCLFCOLUSD,analytics,11M,348,0.007990400704778128
2025-09-26,CCLFCOLUSD,analytics,12M,369,0.00854292414318823
2025-09-26,CCLFCOLUSD,analytics,12M,378,0.008792789648083143
2025-09-26,CCLFCOLUSD,analytics,13M,409,0.008172508197675746
2025-09-26,CCLFCOLUSD,analytics,14M,439,0.00738137862630575
2025-09-26,CCLFCOLUSD,analytics,15M,470,0.0068085761610379115
2025-09-26,CCLFCOLUSD,analytics,16M,501,0.009691652660473768
2025-09-26,CCLFCOLUSD,analytics,17M,529,0.008286669826114592
2025-09-26,CCLFCOLUSD,analytics,18M,550,0.007503534936262211
2025-09-26,CCLFCOLUSD,analytics,18M,560,0.007163110235675217
2025-09-26,CCLFCOLUSD,analytics,19M,590,0.00558218828032486
2025-09-26,CCLFCOLUSD,analytics,20M,621,0.006411256164267225
2025-09-26,CCLFCOLUSD,analytics,21M,651,0.007006528425871377
2025-09-26,CCLFCOLUSD,analytics,22M,682,0.009283517011712376
2025-09-26,CCLFCOLUSD,analytics,23M,713,0.008945637237251287
2025-09-26,CCLFCOLUSD,analytics,2Y,734,0.009428593855465807
2025-09-26,CCLFCOLUSD,analytics,3Y,1099,0.011423511911534819
2025-09-26,CCLFCOLUSD,analytics,4Y,1463,0.01289316840422469
2025-09-26,CCLFCOLUSD,analytics,5Y,1830,0.014130026938050728
2025-09-26,CCLFCOLUSD,analytics,6Y,2195,0.015170184405625921
2025-09-26,CCLFCOLUSD,analytics,7Y,2561,0.015458692101895837
2025-09-26,CCLFCOLUSD,analytics,8Y,2926,0.01592873049406293
2025-09-26,CCLFCOLUSD,analytics,9Y,3290,0.01630287925251566
2025-09-26,CCLFCOLUSD,analytics,10Y,3654,0.01698226294764414
2025-09-26,CCLFCOLUSD,analytics,12Y,4387,0.016844697031798795
2025-09-26,CCLFCOLUSD,analytics,15Y,5481,0.01707832603122383
2025-09-26,CCLFCOLUSD,analytics,20Y,7308,0.0161378518479421
2025-09-26,CCLFCOLUSD,analytics,25Y,9135,0.01424209959404861
2025-09-26,CCLFCOLUSD,analytics,30Y,10961,0.012499394436593933
