processDate,curveCode,origin,tenor,maturity,rate
2025-09-26,CCLPCOLUSD,analytics,1D,3,0.04198168429779204
2025-09-26,CCLPCOLUSD,analytics,7D,11,0.04198168429779228
2025-09-26,CCLPCOLUSD,analytics,14D,18,0.041405719173701026
2025-09-26,CCLPCOLUSD,analytics,1M,34,0.040747819735432705
2025-09-26,CCLPCOLUSD,analytics,2M,66,0.041479789705952515
2025-09-26,CCLPCOLUSD,analytics,3M,95,0.0413552449543356
2025-09-26,CCLPCOLUSD,analytics,4M,126,0.04107654031407597
2025-09-26,CCLPCOLUSD,analytics,5M,157,0.04036816727904656
2025-09-26,CCLPCOLUSD,analytics,6M,185,0.04056492242319642
2025-09-26,CCLPCOLUSD,analytics,9M,277,0.04046537282298457
2025-09-26,CCLPCOLUSD,analytics,12M,369,0.040387090917484214
2025-09-26,CCLPCOLUSD,analytics,18M,550,0.04087624564494301
2025-09-26,CCLPCOLUSD,analytics,2Y,734,0.041522667742143284
2025-09-26,CCLPCOLUSD,analytics,3Y,1099,0.04296174527802657
2025-09-26,CCLPCOLUSD,analytics,4Y,1463,0.04448164617209389
2025-09-26,CCLPCOLUSD,analytics,5Y,1830,0.04586665387492587
2025-09-26,CCLPCOLUSD,analytics,6Y,2195,0.0472274517087502
2025-09-26,CCLPCOLUSD,analytics,7Y,2561,0.04751917371135464
2025-09-26,CCLPCOLUSD,analytics,8Y,2926,0.04782796294384248
2025-09-26,CCLPCOLUSD,analytics,9Y,3290,0.04808973133593189
2025-09-26,CCLPCOLUSD,analytics,10Y,3654,0.048613759898183125
2025-09-26,CCLPCOLUSD,analytics,12Y,4387,0.04970289120826305
2025-09-26,CCLPCOLUSD,analytics,15Y,5481,0.050962786703848614
2025-09-26,CCLPCOLUSD,analytics,20Y,7308,0.05118793873346409
2025-09-26,CCLPCOLUSD,analytics,25Y,9135,0.05029681150469017
2025-09-26,CCLPCOLUSD,analytics,30Y,10961,0.048229216594708024
